Ref,Item No.,NC#,Field 1,Field 2,Description,Area(m^2)(Metal),Area(m^2)(Ins),Opreation,Sum: 13.3
WD,  299,  560001,  L-9,  Zone-1,  T-Shoe,  0.4,  0.0, Laser Cutter
WD,  300,  560001,  L-9,  Zone-1,  TDFL STRT,  1.5,  0.0, Laser Cutter
WD,  301,  560001,  L-9,  Zone-1,  T-Taper,  0.7,  0.0, Laser Cutter
WD,  302,  560001,  L-9,  Zone-1,  TDFL STRT,  1.1,  0.0, Laser Cutter
WD,  303,  560001,  L-9,  Zone-1,  T-Taper,  1.1,  0.6, Laser Cutter
WD,  304,  560001,  L-9,  Zone-1,  TDFL-LPE STRT,  2.4,  0.0, Laser Cutter
WD,  305,  560001,  L-9,  Zone-1,  T-Shoe,  0.3,  0.0, Laser Cutter
WD,  307,  560001,  L-9,  Zone-1,  T-Taper,  0.5,  0.0, Laser Cutter
WD,  308,  560001,  L-9,  Zone-1,  TDFL-LPE STRT,  1.2,  0.0, Laser Cutter
WD,  309,  560001,  L-9,  Zone-1,  T-Shoe,  0.4,  0.0, Laser Cutter
WD,  312,  560001,  L-9,  Zone-1,  T-Taper,  0.6,  0.0, Laser Cutter
WD,  315,  560001,  L-9,  Zone-1,  TDFL-LPE STRT,  1.2,  0.0, Laser Cutter
WD,  316,  560001,  L-9,  Zone-1,  T-Shoe,  0.3,  0.0, Laser Cutter
WD,  318,  560001,  L-9,  Zone-1,  TDFL-LPE STRT,  1.2,  0.0, Laser Cutter
WD,  319,  560001,  L-9,  Zone-1,  T-Shoe,  0.4,  0.0, Laser Cutter
