Location,Cage No.
1-A-R,0
1-B-R,0
1-C-R,0
2-A-R,0
2-B-R,0
2-C-R,0
3-A-R,0
3-B-R,0
3-C-R,0
4-A-R,0
4-B-R,0
4-C-R,0
5-A-R,0
5-B-R,0
5-C-R,0
6-A-R,0
6-B-R,0
6-C-R,0
7-A-R,0
7-B-R,0
7-C-R,0
8-A-R,0
8-B-R,0
8-C-R,0
9-A-R,0
9-B-R,0
9-C-R,0
10-A-R,0
10-B-R,0
10-C-R,0
1-A-B,0
1-B-B,0
1-C-B,0
2-A-B,0
2-B-B,0
2-C-B,0
3-A-B,0
3-B-B,0
3-C-B,0
4-A-B,0
4-B-B,0
4-C-B,0
5-A-B,0
5-B-B,0
5-C-B,0
6-A-B,0
6-B-B,0
6-C-B,0
7-A-B,0
7-B-B,0
7-C-B,0
8-A-B,0
8-B-B,0
8-C-B,0
9-A-B,0
9-B-B,0
9-C-B,0
10-A-B,0
10-B-B,0
10-C-B,0
1-A-G,0
1-B-G,0
2-A-G,0
2-B-G,0
3-A-G,0
3-B-G,0
4-A-G,0
4-B-G,0
5-A-G,0
5-B-G,0
6-A-G,0
6-B-G,0
7-A-G,0
7-B-G,0
8-A-G,0
8-B-G,0
9-A-G,0
9-B-G,0
10-A-G,0
10-B-G,0
